From Station,To Station,Fare
Airport,Meenambakkam,8
Airport,Nanganallur Road,16
Airport,Alandur Metro,16
Airport,Guindy,24
Airport,Little Mount,24
Airport,Saidapet,24
Airport,Nandanam,24
Airport,Teynampet,24
Airport,AG-DMS,32
Airport,Thousand Lights,32
Airport,LIC,32
Airport,Government Estate,32
Airport,Central Metro,32
Airport,High Court,32
Airport,Mannadi,32
Airport,Washermenpet,40
Airport,Thyagaraya College,40
Airport,Tondiarpet,40
Airport,New Washermen pet,40
Airport,Toll Gate,40
Airport,Kaladipet,40
Airport,Thiruvotriyur Theredi,40
Airport,Thiruvotriyur,40
Airport,WimcoNagar,40
Airport,WimcoNagar Depot,40
Airport,Ekkattuthangal,24
Airport,Ashok Nagar,24
Airport,Vadapalani,24
Airport,Arumbakkam,24
Airport,CMBT Metro,32
Airport,Koyambedu,32
Airport,Thirumangalam,32
Airport,Anna Nagar Tower,32
Airport,Anna Nagar East,32
Airport,Shenoy Nagar,32
Airport,Pachaiyappas College,32
Airport,Kilpauk,40
Airport,Nehru Park,32
Airport,Egmore,32
Airport,St Thomas Mount,24

St Thomas Mount,WimcoNagar Depot,40
St Thomas Mount,WimcoNagar,40
St Thomas Mount,Thiruvotriyur,40
St Thomas Mount,Thiruvotriyur Theredi,40
St Thomas Mount,Kaladipet,40
St Thomas Mount,Toll Gate,40
St Thomas Mount,New Washermen pet,40
St Thomas Mount,Tondiarpet,40
St Thomas Mount,Thyagaraya College,40
St Thomas Mount,Washermenpet,40
St Thomas Mount,Mannadi,32
St Thomas Mount,High Court,32
St Thomas Mount,Central Metro,32
St Thomas Mount,Government Estate,32
St Thomas Mount,LIC,32
St Thomas Mount,Thousand Lights,32
St Thomas Mount,AG-DMS,32
St Thomas Mount,Teynampet,24
St Thomas Mount,Nandanam,24
St Thomas Mount,Saidapet,24
St Thomas Mount,Little Mount,24
St Thomas Mount,Guindy,24
St Thomas Mount,Alandur Metro,16
St Thomas Mount,Nanganallur Road,16
St Thomas Mount,Meenambakkam,24
St Thomas Mount,Airport,24
St Thomas Mount,Ekkattuthangal,16
St Thomas Mount,Ashok Nagar,16
St Thomas Mount,Vadapalani,24
St Thomas Mount,Arumbakkam,24
St Thomas Mount,CMBT Metro,24
St Thomas Mount,Koyambedu,24
St Thomas Mount,Thirumangalam,32
St Thomas Mount,Anna Nagar Tower,32
St Thomas Mount,Anna Nagar East,32
St Thomas Mount,Shenoy Nagar,32
St Thomas Mount,Pachaiyappas College,32
St Thomas Mount,Kilpauk,32
St Thomas Mount,Nehru Park,32
St Thomas Mount,Egmore,32

Meenambakkam,Airport,8
Meenambakkam,Nanganallur Road,16
Meenambakkam,Alandur Metro,16
Meenambakkam,Guindy,16
Meenambakkam,Little Mount,16
Meenambakkam,Saidapet,24
Meenambakkam,Nandanam,24
Meenambakkam,Teynampet,24
Meenambakkam,AG-DMS,24
Meenambakkam,Thousand Lights,32
Meenambakkam,LIC,32
Meenambakkam,Government Estate,32
Meenambakkam,Central Metro,32
Meenambakkam,High Court,32
Meenambakkam,Mannadi,32
Meenambakkam,Washermenpet,32
Meenambakkam,Thyagaraya College,40
Meenambakkam,Tondiarpet,40
Meenambakkam,New Washermen pet,40
Meenambakkam,Toll Gate,40
Meenambakkam,Kaladipet,40
Meenambakkam,Thiruvotriyur Theredi,40
Meenambakkam,Thiruvotriyur,40
